Price;Condo;Size;Rooms;Toilets;Suites;Parking;Elevator;Furnished;Swimming Pool;New;District;Negotiation Type;Property Type;Latitude;Longitude
340000;452;65;3;2;1;1;1;1;1;0;Mooca/São Paulo;sale;apartment;-23.550.464;-46.604.648
600000;882;82;2;2;1;1;0;1;1;0;Mooca/São Paulo;sale;apartment;-23.557.555;-46.606.281
441000;0;70;2;2;1;2;1;0;1;0;Mooca/São Paulo;sale;apartment;-23.559.841;-46.604.037
390000;553;31;1;2;1;1;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.618.622;-46.685.512
830000;821;82;3;3;1;1;0;1;0;0;Brooklin/São Paulo;sale;apartment;-23.616.463;-46.680.541
420000;1200;54;2;2;1;1;1;1;1;0;Brooklin/São Paulo;sale;apartment;-23.603.693;-46.694.742
1737000;600;158;4;6;4;4;0;0;1;0;Brooklin/São Paulo;sale;apartment;-23.615.268;-46.685.278
780000;1300;110;3;2;1;1;1;0;1;0;Brooklin/São Paulo;sale;apartment;-2.361.321;-46.681.417
790000;750;105;2;2;1;1;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.616.043;-4.668.276
550000;0;100;1;2;1;1;1;0;0;0;Brooklin/São Paulo;sale;apartment;-23.610.462;-46.684.729
950000;0;113;3;2;1;1;0;0;0;0;Brooklin/São Paulo;sale;apartment;-23.612.659;-46.678.737
785000;550;67;2;2;1;1;0;0;1;0;Brooklin/São Paulo;sale;apartment;-23.618.385;-46.684.776
570140;0;54;2;2;1;1;0;0;1;0;Brooklin/São Paulo;sale;apartment;-23.623.669;-46.688.265
1470000;900;130;3;5;3;2;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.619.816;-46.695.689
2050000;0;169;3;4;2;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-23.626.047;-46.685.233
1690000;1365;167;3;5;3;3;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.624.065;-46.685.122
760000;770;74;2;2;1;1;0;1;1;0;Brooklin/São Paulo;sale;apartment;-23.617.511;-46.694.794
555000;0;67;2;2;1;1;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.624.665;-46.688.734
688000;800;63;2;2;1;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-23.611.935;-46.680.022
690000;800;63;2;2;1;2;0;0;1;0;Brooklin/São Paulo;sale;apartment;-23.610.342;-46.681.432
1250000;950;125;3;4;1;2;1;0;1;0;Brooklin/São Paulo;sale;apartment;-2.362.446;-4.668.547
950000;770;70;2;2;1;1;1;0;1;0;Brooklin/São Paulo;sale;apartment;-2.362.339;-46.694.729
640000;850;72;2;2;1;1;1;0;0;0;Brooklin/São Paulo;sale;apartment;-23.612.967;-46.683.731
1000000;1500;121;3;4;1;3;1;1;1;0;Brooklin/São Paulo;sale;apartment;-23.610.485;-46.681.161
847000;1020;83;3;3;1;2;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.619.701;-46.678.965
750000;950;94;3;4;1;2;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.612.298;-46.681.999
954000;1180;100;3;4;3;2;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.624.773;-46.689.663
1180000;0;125;3;4;3;2;1;0;1;1;Brooklin/São Paulo;sale;apartment;-23.624.773;-46.689.663
2790000;1650;225;4;4;3;4;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.614.144;-46.688.294
555000;492;41;1;2;1;1;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.614.331;-46.686.158
440000;450;34;1;2;1;1;1;1;1;0;Brooklin/São Paulo;sale;apartment;-2.361.244;-4.668.121
847000;1020;83;3;3;1;2;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.624.752;-46.683.948
1340000;1050;105;2;3;2;2;1;0;1;0;Brooklin/São Paulo;sale;apartment;-23.614.441;-46.686.832
1100000;1700;92;3;3;1;2;1;1;1;0;Vila Olimpia/São Paulo;sale;apartment;-23.601.284;-46.678.802
